Bank Name,As of,Instrument Type,Listing Date,Last Traded Price,Change Price,Change Percentage,Total Traded Quantity,Total Trades,Previous Day Close Price,High Price / Low Price,52 Week High / 52 Week Low,Open Price,Close Price*,Total Listed Shares,Total Paid up Value,Market Capitalization,Notes
Prabhu  Bank Limited (PRVU),"Sep 29, 2021",Equity ( EQ ),"Jan 15, 2017",407.00,6.00,(1.50%),"58,982",481,401.00,411.10 / 396.00,525.00 / 227.00,402.00,407.00,"113,470,576","11,347,057,600.00","46,182,524,432.00",*NOTE: Close Price will be calculated after market close.
Global IME Bank Limited (GBIME),"Sep 29, 2021",Equity ( EQ ),"Jul 26, 2017",411.00,2.20,(0.54%),"99,368",927,408.80,416.90 / 400.00,522.00 / 264.00,416.90,411.00,"216,325,031","21,632,503,100.00","88,909,587,741.00",*NOTE: Close Price will be calculated after market close.
Citizen Bank International Limited (CZBIL),"Sep 29, 2021",Equity ( EQ ),"Jan 10, 2017",396.90,12.90,(3.36%),"231,042","1,223",384.00,399.40 / 379.00,444.00 / 204.00,391.60,396.90,"116,620,409","11,662,041,088.00","46,286,640,332.10",*NOTE: Close Price will be calculated after market close.
Prime Commercial Bank Ltd. (PCBL),"Sep 29, 2021",Equity ( EQ ),"Jul 7, 2017",490.00,16.00,(3.38%),"93,793",604,474.00,490.00 / 463.00,540.00 / 283.00,483.30,490.00,"160,830,368","16,083,036,800.00","78,806,880,320.00",*NOTE: Close Price will be calculated after market close.
Sunrise Bank Limited (SRBL),"Sep 29, 2021",Equity ( EQ ),"Mar 6, 2017",324.90,2.90,(0.90%),"90,691",290,322.00,327.90 / 316.50,418.20 / 235.00,326.00,324.90,"94,879,448","9,487,944,800.00","30,826,332,655.20",*NOTE: Close Price will be calculated after market close.
Agriculture Development Bank Limited (ADBL),"Sep 29, 2021",Equity ( EQ ),"Aug 16, 2010",512.00,3.00,(0.59%),"78,586",616,509.00,512.00 / 494.90,620.00 / 398.00,510.00,512.00,"109,899,296","10,989,929,600.00","56,268,439,552.00",*NOTE: Close Price will be calculated after market close.
Nepal Bank Limited (NBL),"Sep 29, 2021",Equity ( EQ ),"Dec 2, 2012",501.00,11.00,(2.24%),"334,495","1,289",490.00,501.00 / 484.30,575.00 / 320.00,490.00,501.00,"126,367,587","12,636,758,700.00","63,310,161,087.00",*NOTE: Close Price will be calculated after market close.
Civil Bank Ltd (CBL),"Sep 29, 2021",Equity ( EQ ),"Jul 19, 2017",252.00,6.00,(2.44%),"82,397",453,246.00,255.00 / 241.40,316.00 / 161.00,250.00,252.00,"86,436,611","8,643,661,100.00","21,782,025,972.00",*NOTE: Close Price will be calculated after market close.
Mega  Bank Nepal Ltd. (MEGA),"Sep 29, 2021",Equity ( EQ ),"May 28, 2018",342.80,-14.00,(-3.92%),"405,519","1,738",356.80,350.00 / 330.00,405.00 / 221.00,350.00,342.80,"146,549,648","14,654,964,800.00","50,237,219,334.40",*NOTE: Close Price will be calculated after market close.
Century Commercial Bank Ltd. (CCBL),"Sep 29, 2021",Equity ( EQ ),"Jan 4, 2018",245.50,2.20,(0.90%),"55,884",353,243.30,250.00 / 242.00,324.00 / 184.00,248.00,245.50,"90,344,296","9,034,429,600.00","22,179,524,668.00",*NOTE: Close Price will be calculated after market close.
